venue,season,team1,team2,team1_runs,team2_runs,team1_wickets,team2_wickets,team1_strike_rate,team2_strike_rate,team1_boundaries,team2_boundaries,team1_powerplay_runs,team2_powerplay_runs,team1_death_runs,team2_death_runs,total_runs,run_difference,team1_won,winner
"R.Premadasa Stadium, Khettarama",2018/19,England,Sri Lanka,187,157,8,10,153.27868852459017,129.75206611570246,27,19,58,41,22,31,344,30,1,England
"The Village, Malahide",2018,India,Ireland,208,132,5,9,165.07936507936506,109.09090909090908,28,14,54,41,30,6,340,76,1,India
"The Village, Malahide",2018,India,Ireland,213,70,4,10,161.36363636363635,89.74358974358975,24,8,53,29,44,0,283,143,1,India
Lord's,2018,West Indies,ICC World XI,199,127,4,9,159.20000000000002,118.69158878504673,27,15,49,25,40,0,326,72,1,West Indies
Hazelaarweg,2018,Netherlands,Ireland,144,140,10,8,116.12903225806453,111.11111111111111,15,13,50,32,17,39,284,4,1,Netherlands
Hazelaarweg,2018,Ireland,Netherlands,158,159,6,6,129.5081967213115,132.5,18,19,59,62,21,22,317,1,0,Netherlands
Sportpark Het Schootsveld,2018,Ireland,Scotland,205,159,5,5,164.0,123.25581395348837,29,18,66,58,32,16,364,46,1,Ireland
Sportpark Het Schootsveld,2018,Scotland,Ireland,185,185,4,6,146.8253968253968,148.0,22,20,72,46,34,25,370,0,0,Ireland
VRA Ground,2018,Netherlands,Scotland,160,161,6,3,130.0813008130081,151.88679245283018,17,26,56,74,18,5,321,1,0,Scotland
VRA Ground,2018,Scotland,Netherlands,221,106,3,9,175.3968253968254,119.10112359550563,28,8,75,42,35,0,327,115,1,Scotland
"R.Premadasa Stadium, Khettarama",2018,South Africa,Sri Lanka,98,99,10,7,96.07843137254902,98.01980198019803,12,14,46,44,0,0,197,1,0,Sri Lanka
Harare Sports Club,2018,Pakistan,Zimbabwe,182,108,4,9,146.7741935483871,98.18181818181819,18,8,42,25,40,3,290,74,1,Pakistan
Harare Sports Club,2018,Pakistan,Australia,116,117,10,1,94.3089430894309,169.56521739130434,11,14,23,52,21,0,233,1,0,Australia
Harare Sports Club,2018,Australia,Zimbabwe,229,129,2,9,184.6774193548387,100.78125,31,17,69,58,33,8,358,100,1,Australia
Harare Sports Club,2018,Zimbabwe,Pakistan,162,163,4,3,131.70731707317074,134.71074380165288,20,15,45,53,28,26,325,1,0,Pakistan
